depth,sid,value,WY
5.000000,1,NaN,2011
5.000000,1,734866.556952,2012
5.000000,1,735066.637087,2013
5.000000,1,NaN,2014
5.000000,1,NaN,2015
5.000000,1,736203.255390,2016
5.000000,1,736613.004314,2017
5.000000,1,736998.000000,2018
5.000000,1,737374.734861,2019
5.000000,2,NaN,2012
5.000000,2,734810.359890,2013
5.000000,2,735138.522095,2014
5.000000,2,735557.707003,2015
5.000000,2,735849.716532,2016
5.000000,2,NaN,2017
5.000000,2,736554.000001,2018
5.000000,2,736972.320449,2019
5.000000,2,737298.999886,2020
5.000000,3,NaN,2012
5.000000,3,734848.749598,2013
5.000000,3,735137.812964,2014
5.000000,3,735568.317332,2015
5.000000,3,735882.682215,2016
5.000000,3,736237.529792,2017
5.000000,3,736644.323659,2018
5.000000,3,736958.308528,2019
5.000000,3,737307.997683,2020
5.000000,4,NaN,2012
5.000000,4,734759.938655,2013
5.000000,4,735192.000073,2014
5.000000,4,735539.681900,2015
5.000000,4,735850.042736,2016
5.000000,4,736239.118209,2017
5.000000,4,736545.999990,2018
5.000000,4,736970.218533,2019
5.000000,5,NaN,2012
5.000000,5,734762.700054,2013
5.000000,5,735213.699740,2014
5.000000,5,735466.611968,2015
5.000000,5,735778.999978,2016
5.000000,5,736237.874502,2017
5.000000,5,736564.739252,2018
5.000000,5,NaN,2019
5.000000,5,737312.999941,2020
5.000000,6,NaN,2010
5.000000,6,NaN,2011
5.000000,6,734666.812088,2012
5.000000,6,NaN,2013
5.000000,6,NaN,2014
5.000000,6,735765.895502,2015
5.000000,6,736118.100166,2016
5.000000,6,736568.000055,2017
5.000000,6,736858.104896,2018
5.000000,6,737384.829383,2019
5.000000,7,NaN,2011
5.000000,7,734399.313669,2012
5.000000,7,734793.748910,2013
5.000000,7,735183.954679,2014
5.000000,7,735538.868221,2015
5.000000,7,735914.628864,2016
5.000000,7,736293.675832,2017
5.000000,7,736627.174368,2018
5.000000,7,NaN,2019
5.000000,7,737372.376498,2020
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,NaN,2012
5.000000,8,734740.009147,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,735946.798088,2016
5.000000,8,736224.000041,2017
5.000000,8,736680.512001,2018
5.000000,8,NaN,2019
5.000000,8,737308.999297,2020
5.000000,9,NaN,2012
5.000000,9,734840.678811,2013
5.000000,9,NaN,2014
5.000000,9,NaN,2015
5.000000,9,735943.000043,2016
5.000000,9,736217.591595,2017
5.000000,9,NaN,2018
5.000000,9,NaN,2019
5.000000,9,737321.775187,2020
5.000000,10,NaN,2011
5.000000,10,734546.829279,2012
5.000000,10,NaN,2013
5.000000,10,NaN,2014
5.000000,10,NaN,2015
5.000000,10,NaN,2016
5.000000,10,736222.086614,2017
5.000000,10,736696.800325,2018
5.000000,10,737035.942380,2019
5.000000,11,NaN,2012
5.000000,11,734843.890135,2013
5.000000,11,735128.748203,2014
5.000000,11,735476.820491,2015
5.000000,11,735868.301193,2016
5.000000,11,736232.000000,2017
5.000000,11,736563.998640,2018
5.000000,11,736928.712760,2019
5.000000,11,737321.049243,2020
5.000000,12,NaN,2011
5.000000,12,734519.653405,2012
5.000000,12,734778.000027,2013
5.000000,12,735248.232605,2014
5.000000,12,NaN,2015
5.000000,12,735902.999998,2016
5.000000,12,736204.167967,2017
5.000000,12,736625.201112,2018
5.000000,12,NaN,2019
5.000000,12,737324.336342,2020
5.000000,13,NaN,2010
5.000000,13,NaN,2011
5.000000,13,734690.617968,2012
5.000000,13,NaN,2013
5.000000,13,NaN,2014
5.000000,13,735751.999961,2015
5.000000,13,NaN,2016
5.000000,13,NaN,2017
5.000000,13,NaN,2018
5.000000,13,737235.042191,2019
5.000000,14,NaN,2012
5.000000,14,734752.087273,2013
5.000000,14,735145.712694,2014
5.000000,14,735457.126744,2015
5.000000,14,735795.243001,2016
5.000000,14,NaN,2017
5.000000,14,736517.999997,2018
5.000000,14,736920.999577,2019
5.000000,14,737291.000001,2020
5.000000,15,NaN,2011
5.000000,15,NaN,2012
5.000000,15,735168.900602,2013
5.000000,15,735525.000000,2014
5.000000,15,735869.077345,2015
5.000000,15,736248.428528,2016
5.000000,15,736598.227112,2017
5.000000,15,736990.704545,2018
5.000000,15,737369.634035,2019
5.000000,16,NaN,2011
5.000000,16,734458.080052,2012
5.000000,16,734896.374904,2013
5.000000,16,735184.687099,2014
5.000000,16,NaN,2015
5.000000,16,735898.999985,2016
5.000000,16,NaN,2017
5.000000,16,736585.000033,2018
5.000000,16,NaN,2019
5.000000,16,737364.000003,2020
5.000000,17,NaN,2010
5.000000,17,734293.053049,2011
5.000000,17,NaN,2012
5.000000,17,NaN,2013
5.000000,17,735343.999983,2014
5.000000,17,735804.514309,2015
5.000000,17,NaN,2016
5.000000,17,736518.946331,2017
5.000000,17,NaN,2018
5.000000,17,737197.486968,2019
5.000000,18,NaN,2011
5.000000,18,734412.866247,2012
5.000000,18,734724.194119,2013
5.000000,18,735089.442623,2014
5.000000,18,735456.999999,2015
5.000000,18,735779.000216,2016
5.000000,18,736187.000008,2017
5.000000,18,736566.046848,2018
5.000000,18,737016.345469,2019
5.000000,18,737271.918696,2020
5.000000,19,NaN,2010
5.000000,19,NaN,2011
5.000000,19,NaN,2012
5.000000,19,NaN,2013
5.000000,19,NaN,2014
5.000000,19,735800.000011,2015
5.000000,19,736202.000000,2016
5.000000,19,736514.000001,2017
5.000000,19,736939.000000,2018
5.000000,19,737190.296629,2019
5.000000,20,NaN,2012
5.000000,20,734768.454196,2013
