depth,sid,value,WY
5.000000,1,NaN,2012
5.000000,1,-127.097250,2013
5.000000,1,-165.999931,2014
5.000000,1,-234.000003,2015
5.000000,1,-372.157001,2016
5.000000,1,-209.000000,2017
5.000000,1,-215.000000,2018
5.000000,1,-393.000000,2019
5.000000,1,152.000167,2020
5.000000,2,NaN,2012
5.000000,2,-226.544145,2013
5.000000,2,-208.407517,2014
5.000000,2,-215.610638,2015
5.000000,2,-209.001242,2016
5.000000,2,-197.000007,2017
5.000000,2,-195.130050,2018
5.000000,2,-211.000000,2019
5.000000,2,173.377661,2020
5.000000,3,NaN,2012
5.000000,3,NaN,2013
5.000000,3,-254.298938,2014
5.000000,3,-189.098664,2015
5.000000,3,-266.074624,2016
5.000000,3,-251.427522,2017
5.000000,3,-207.773963,2018
5.000000,3,-241.523740,2019
5.000000,3,106.197471,2020
5.000000,4,NaN,2012
5.000000,4,-170.024768,2013
5.000000,4,-173.612985,2014
5.000000,4,-153.990276,2015
5.000000,4,-239.281233,2016
5.000000,4,-184.625090,2017
5.000000,4,-153.658623,2018
5.000000,4,-159.132424,2019
5.000000,4,211.194457,2020
5.000000,5,NaN,2012
5.000000,5,-287.415369,2013
5.000000,5,-165.993591,2014
5.000000,5,-198.000000,2015
5.000000,5,-200.000145,2016
5.000000,5,-179.130035,2017
5.000000,5,-214.878138,2018
5.000000,5,-123.849048,2019
5.000000,5,199.005646,2020
5.000000,6,NaN,2010
5.000000,6,-31.685251,2011
5.000000,6,-39.000000,2012
5.000000,6,-44.110827,2013
5.000000,6,-42.320132,2014
5.000000,6,-38.653215,2015
5.000000,6,-50.000000,2016
5.000000,6,-7.743690,2017
5.000000,6,-33.000000,2018
5.000000,6,-26.838894,2019
5.000000,7,NaN,2011
5.000000,7,-232.000000,2012
5.000000,7,-275.493576,2013
5.000000,7,-232.000000,2014
5.000000,7,-277.000000,2015
5.000000,7,-240.000000,2016
5.000000,7,-229.451907,2017
5.000000,7,-207.000000,2018
5.000000,7,NaN,2019
5.000000,7,-36.680511,2020
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,NaN,2012
5.000000,8,NaN,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,-105.726560,2016
5.000000,8,NaN,2017
5.000000,8,-141.172739,2018
5.000000,8,-116.000000,2019
5.000000,9,NaN,2012
5.000000,9,NaN,2013
5.000000,9,-13.000000,2014
5.000000,9,-71.135518,2015
5.000000,9,-109.087819,2016
5.000000,9,NaN,2017
5.000000,9,-141.000000,2018
5.000000,9,-115.733532,2019
5.000000,10,NaN,2011
5.000000,10,-252.867345,2012
5.000000,10,NaN,2013
5.000000,10,-310.233225,2014
5.000000,10,-143.000000,2015
5.000000,10,NaN,2016
5.000000,10,-291.000000,2017
5.000000,10,-208.000000,2018
5.000000,10,-212.098217,2019
5.000000,11,NaN,2012
5.000000,11,-203.000001,2013
5.000000,11,-222.954239,2014
5.000000,11,-217.000083,2015
5.000000,11,-255.835601,2016
5.000000,11,-254.718313,2017
5.000000,11,-230.561438,2018
5.000000,11,-229.661939,2019
5.000000,11,140.999892,2020
5.000000,12,NaN,2011
5.000000,12,-297.000000,2012
5.000000,12,NaN,2013
5.000000,12,-258.000001,2014
5.000000,12,NaN,2015
5.000000,12,NaN,2016
5.000000,12,-299.000000,2017
5.000000,12,-220.000001,2018
5.000000,12,NaN,2019
5.000000,12,NaN,2020
5.000000,13,NaN,2010
5.000000,13,-36.000000,2011
5.000000,13,-34.000000,2012
5.000000,13,NaN,2013
5.000000,13,-23.422952,2014
5.000000,13,-18.000000,2015
5.000000,13,-42.180641,2016
5.000000,13,-70.999780,2017
5.000000,13,-70.843877,2018
5.000000,13,-33.977515,2019
5.000000,14,NaN,2012
5.000000,14,-298.573623,2013
5.000000,14,-251.999403,2014
5.000000,14,-143.969565,2015
5.000000,14,-230.823621,2016
5.000000,14,-207.957667,2017
5.000000,14,-176.200691,2018
5.000000,14,-157.017876,2019
5.000000,14,180.424322,2020
5.000000,15,NaN,2012
5.000000,15,-283.267440,2013
5.000000,15,-246.794736,2014
5.000000,15,-164.901200,2015
5.000000,15,-245.000000,2016
5.000000,15,-272.234222,2017
5.000000,15,-218.000000,2018
5.000000,15,-216.000004,2019
5.000000,15,117.055946,2020
5.000000,16,NaN,2010
5.000000,16,122.054747,2011
5.000000,16,160.000000,2012
5.000000,16,-13.000000,2013
