5,1,NaN,2012
5,1,-217.000000,2013
5,1,NaN,2014
5,1,-240.000000,2015
5,1,-244.000000,2016
5,1,-203.000000,2017
5,1,-204.000000,2018
5,1,NaN,2019
5,1,241.000000,2020
5,2,NaN,2012
5,2,-228.000000,2013
5,2,-188.000000,2014
5,2,-213.000000,2015
5,2,-193.000000,2016
5,2,-182.000000,2017
5,2,NaN,2018
5,2,NaN,2019
5,2,208.000000,2020
5,3,NaN,2012
5,3,NaN,2013
5,3,-246.000000,2014
5,3,-192.000000,2015
5,3,-268.000000,2016
5,3,-244.000000,2017
5,3,-167.000000,2018
5,3,-247.000000,2019
5,3,100.000000,2020
5,4,NaN,2012
5,4,NaN,2013
5,4,NaN,2014
5,4,NaN,2015
5,4,-229.000000,2016
5,4,-162.000000,2017
5,4,NaN,2018
5,4,NaN,2019
5,4,NaN,2020
5,5,NaN,2012
5,5,-279.000000,2013
5,5,NaN,2014
5,5,NaN,2015
5,5,NaN,2016
5,5,NaN,2017
5,5,-172.000000,2018
5,5,-186.000000,2019
5,5,NaN,2020
5,6,NaN,2010
5,6,-34.000000,2011
5,6,-38.000000,2012
5,6,-38.000000,2013
5,6,-42.000000,2014
5,6,-38.000000,2015
5,6,-52.000000,2016
5,6,NaN,2017
5,6,-35.000000,2018
5,6,-13.000000,2019
5,7,NaN,2011
5,7,-215.000000,2012
5,7,-281.000000,2013
5,7,-210.000000,2014
5,7,-277.000000,2015
5,7,-222.000000,2016
5,7,-232.000000,2017
5,7,-192.000000,2018
5,7,NaN,2019
5,7,NaN,2020
5,8,NaN,2010
5,8,NaN,2011
5,8,NaN,2012
5,8,NaN,2013
5,8,NaN,2014
5,8,NaN,2015
5,8,-107.000000,2016
5,8,NaN,2017
5,8,-143.000000,2018
5,8,-28.000000,2019
5,9,NaN,2012
5,9,NaN,2013
5,9,93.000000,2014
5,9,-86.000000,2015
5,9,-108.000000,2016
5,9,NaN,2017
5,9,-142.000000,2018
5,9,4.000000,2019
5,10,NaN,2011
5,10,-252.000000,2012
5,10,NaN,2013
5,10,NaN,2014
5,10,-144.000000,2015
5,10,NaN,2016
5,10,-299.000000,2017
5,10,-208.000000,2018
5,10,-208.000000,2019
5,11,NaN,2012
5,11,-210.000000,2013
5,11,-208.000000,2014
5,11,NaN,2015
5,11,-249.000000,2016
5,11,-249.000000,2017
5,11,-210.000000,2018
